City,Typology,Country,Car_Modeshare,Public_Transit_Modeshare,Bicycle_Modeshare,Walking_Modeshare,Gasoline_Pump_Price,Road_Deaths_Rate,Subway_Length,Subway_Length_Density,Subway_Stations_per_Hundred_Thousand,Subway_Ridership_per_Capita,Subway_Age,BRT_Length,BRT_System_Length_Density,BRT_Stations_per_Hundred_Thousand_Persons,BRT_Fleet_per_Hundred_Thousand_Persons,BRT_Annual_Ridership_per_Capita,BRT_Age,Bikeshare_Stations,Bikeshare_Stations_per_Hundred_Thousand_Persons,Bikeshare_Number_of_Bikes,Bikeshare_Bicycles_per_Hundred_Thousand_Persons,Bikeshare_Age,Congestion,Congestion_AM_Peak,Congestion_PM_Peak,Traffic_Index,Travel_Time_Index,Inefficiency_Index,Population,Land_Area,Population_Density,Population_Change_1990_–_2000,Population_Change_2000_–_2010,Population_Change_2010_–_2020,Population_Change_2020_–_2025,Urbanization_Rate_2015,Urbanization_Rate_Change_2015_–_2025,GDP_per_Capita,Unemployment_Rate,Cost_of_Living_Index,Rent_Index,Grocery_Index,Restaurant_Price_Index,Local_Purchasing_Power_Index,Gini_Coefficient,Poverty_Rate,Life_Expectancy,Safety_Index,Internet_Penetration,Digital_Penetration,Innovation_Index,Smartphone_Penetration,CO2_Emissions_per_Capita,Pollution_Index,Street_length_total,Street_Length_Density,Street_Length_Average,Intersection_Count,Intersection_Density,Degree_Average,Streets_per_Node,Circuity,Self-Loop_Proportion,Highway_Proportion,Metro_Propensity_Factor,BRT_Propensity_Factor,BikeShare_Propensity_Factor,Development_Factor,Sustainability_Factor,Population_Factor,Congestion_Factor,Sprawl_Factor,Network_Density_Factor
Lome,Congested Emerging,Togo,,,,,0.94,31.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,1735000,207,8400,341755,549318,698036,320519,40.0,5.1,558.1,,,,,,,0.3,34.6,59.9,,5.5,0.18,,,0.321781847,,4124167.355,3275129881.0,104.9726979,23292.0,794.1311784,5.70935209,2.92605411,1.027425643,0.00018251,0.0,0.0708573274,0.0283407845,0.3462144783,0.0261646858,0.2900837682,0.212292914,0.6883938281,0.426501555,0.3833406948
Daejeon,Hybrid Giant,South Korea,44.0,28.0,2,26.0,1.47,9.1,22.7,0.171969697,1.396825397,26.66666667,11,0.0,0.0,0.0,0.0,0.0,0.0,145,9.206349206,,,,,,,,,,1575000,132,11900,325450,158255,147517,32342,82.5,1.3,24215.0,3.0,,,,,,,,82.3,,92.3,0.82,40.0,88.0,5.4,,3592203.038,3660282316.0,131.4958283,16279.0,1018.951957,5.585404318,2.975365708,1.063103808,0.001051504,0.027003556,0.2758719041,0.1371809826,0.4649616474,0.5128820574,0.5182611786,0.0457826128,0.4935318175,0.402740872,0.3565213291
Marseille,Hybrid Giant,France,54.0,11.0,1,34.0,1.86,6.2,21.5,0.031204644,1.739130435,49.56521739,40,0.0,0.0,0.0,0.0,0.0,0.0,122,7.577639752,672.0,41.73913043,11.0,40.0,62.0,75.0,,,,1610000,689,2300,57886,109352,211376,102847,79.5,2.2,40203.0,11.4,65.23,22.58,57.58,69.02,102.28,,,82.4,39.46,83.3,0.72,42.0,49.0,9.5,65.33,2017026.389,3325429814.0,95.95292273,12384.0,1648.679379,4.415161764,2.675387659,1.09999217,0.004885099,0.018914057,0.274039346,0.1493097147,0.4898855463,0.605760421,0.4150095246,0.046363328,0.4919264097,0.1633413931,0.3338046445
McAllen(TX),Auto Sprawl,United States,89.5,0.4,0,1.2,0.6,12.8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,21.0,23.0,38.0,,,,860000,927,800,264416,291429,160727,79297,81.6,1.7,20361.0,10.8,,,,,,0.469,23.8,78.5,,68.1,0.78,,72.0,8.3,,1912104.424,5661885140.0,170.3130332,6520.0,2961.075279,5.429504901,2.836516713,1.074381851,0.004212183,0.007325696,0.0165652145,0.1536524496,0.336033088,0.6522604774,0.3163071669,0.0405794376,0.1478556024,0.6117828495,0.4424315089
Alexandria,Congested Emerging,Egypt,,,,,0.37,12.8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,4775000,293,16300,528588,808170,1117087,671921,43.1,1.9,7100.0,,,,,,,0.34,15.3,70.9,43.07,38.6,0.4,34.0,,2.431261947,92.35,1586712.995,1462651328.0,108.101444,8834.0,921.8121572,5.701517886,3.120157096,1.035170355,0.000223405,0.04932966,0.0938324298,0.0509910917,0.3707620417,0.1635057161,0.3459135372,0.2517962394,0.6858617509,0.4598473245,0.293474639
Rio de Janeiro,BusTransit Dense,Brazil,17.69,45.36,2.42,29.36,1.43,16.7,58.0,0.028712871,0.347016504,19.31443081,38,168.0,0.083168317,2.031316124,3.233178163,79.54126111,7.0,60,0.507829031,300.0,2.539145155,7.0,47.0,63.0,81.0,265.74,57.96,287.11,11815000,2020,5800,1207772,1064486,1153241,600812,85.7,2.1,23176.0,5.5,55.68,24.14,40.01,48.26,43.07,0.58,23.85,75.0,22.48,54.2,0.5,42.0,41.0,2.465870235,74.57,13444414.48,5036597298.0,110.41824,71554.0,374.6237744,5.166194346,2.852132468,1.050029006,0.001541384,0.015178093,0.2878019792,0.6841013359,0.4220030793,0.3768447283,0.1475996126,0.2542392773,0.7634452639,0.4562563328,0.4869231324
Shiraz,BusTransit Sprawl,Iran,,,,,0.36,32.1,10.5,0.042682927,0.413436693,10.33591731,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,1935000,246,7900,180212,185012,235288,108284,73.4,4.4,6733.9,,,,,,,,,75.5,,57.2,0.43,,,7.996848538,,4147210.991,3761504102.0,102.8803798,23284.0,906.9960777,4.526978875,2.566238229,1.04573742,0.000491946,0.0,0.1209010249,0.1134286119,0.3892517543,0.2349070384,0.2729333012,0.1040576392,0.5459088686,0.7795039103,0.3475904333
Odessa,Congested Emerging,Ukraine,,,,,1.12,13.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,1010000,207,4900,-55370,-27388,24269,19372,69.7,2.4,2905.9,,28.74,7.54,20.56,28.56,40.34,,,71.3,,41.8,0.43,29.0,27.0,5.959632751,,1912328.192,2187179142.0,185.1058167,6102.0,1143.725826,5.488929629,2.921590749,1.047784112,0.000513848,0.0,0.0870367316,0.0835991039,0.4027029009,0.1507053893,0.2994876318,0.0629953479,0.6562928928,0.2981269079,0.3670778634
Recife,BusTransit Dense,Brazil,29.44,44.35,,23.43,1.3,23.4,39.5,0.095410628,0.82962963,32.65185185,32,51.15,0.123550725,0.503703704,40.91851852,62.33413333,36.0,0,0.0,0.0,0.0,0.0,37.0,60.0,65.0,259.1,53.6,444.44,3375000,414,8100,540211,454486,525212,245248,85.7,2.1,10359.0,,49.87,13.66,41.13,36.03,41.14,0.57,,75.0,22.6,54.2,0.5,35.0,41.0,2.465870235,,3741851.677,8346713569.0,97.18337991,22835.0,2230.637206,5.239495174,2.865330364,1.045125863,0.000750964,0.003925615,0.3222425464,0.7456021301,0.3958866722,0.287749633,0.0671465672,0.1248717936,0.6392092338,0.4268486572,0.505700629
Casablanca,Congested Emerging,Morocco,19.0,13.0,,53.0,1.16,20.8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,3240000,272,11900,254493,72710,570662,331400,60.2,4.7,9274.0,,37.77,14.18,33.9,25.25,48.9,0.52,4.8,74.3,47.43,60.0,0.33,34.0,,1.750481949,92.86,3500693.218,7985208967.0,94.03135238,22615.0,2281.036489,5.594409106,3.115374958,1.054997713,0.001511026,0.019852746,0.0643710994,0.0776423113,0.3879740417,0.1548651517,0.3373769741,0.1685833116,0.6405532178,0.2786029055,0.4820313092
Quito,BusTransit Dense,Ecuador,22.6,61.7,0.3,15.4,0.39,20.1,0.0,0.0,0.0,0.0,0,69.0,0.128731343,4.270613108,24.31289641,105.6780127,23.0,25,1.057082452,425.0,17.97040169,6.0,,,,,,,2365000,536,4400,269603,240338,335990,208421,63.7,2.7,5191.1,,46.41,15.9,42.99,35.54,36.1,0.51,16.4,76.2,45.25,77.4,0.41,33.0,,2.779287585,66.79,4843218.065,6896621850.0,103.6980637,26851.0,1423.975084,5.094471316,2.86398702,1.071038158,0.000769157,0.00484411,0.1276468854,0.8210933267,0.432596526,0.2955487516,0.2342198162,0.1073418769,0.688155658,0.6642391745,0.4278439458
Accra,Congested Emerging,Ghana,13.0,62.0,,12.0,1.05,26.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,4095000,971,4200,476573,795530,1132608,626340,54.0,6.0,1707.7,,64.46,48.97,59.9,44.06,14.1,0.5,10.6,62.4,51.89,29.6,0.16,,21.0,0.558786409,101.66,6602718.654,5238230551.0,131.0583298,30464.0,793.3445033,5.325573134,2.756400798,1.042460365,0.00043099,0.004370785,0.1005645896,0.0471942878,0.2733868687,0.1800482911,0.3260724135,0.2540751385,0.7532008066,0.4572309334,0.4289084044
Sapporo,Hybrid Giant,Japan,45.1,19.0,10.9,24.1,1.34,4.7,48.0,0.082332762,1.920668058,87.68267223,46,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,2395000,583,4100,188890,206043,232366,46009,93.5,2.8,32446.0,4.6,,,,,,,,83.7,,90.6,0.75,41.0,39.0,5.2,,8731981.463,4565664862.0,90.06964076,58347.0,522.8669897,6.160954582,3.180623166,1.072912214,0.000436302,0.007110503,0.3875985964,0.1431904012,0.4167909356,0.4709775376,0.4840713849,0.0363215236,0.5254378691,0.3512529076,0.5191288179
Hong Kong,MassTransit Heavyweight,Hong Kong,6.0,48.0,,44.7,2.05,1.8,174.7,0.612982456,1.222527473,234.478022,38,0.0,0.0,0.0,0.0,0.0,0.0,100,1.373626374,3000.0,41.20879121,1.0,36.0,57.0,68.0,154.06,43.26,179.42,7280000,285,25600,1017456,269872,749955,357303,100.0,0.0,36776.2,3.4,76.51,81.13,75.87,54.37,89.34,0.54,12.8,83.45,79.97,80.5,0.79,48.0,,6.260047304,68.37,2214745.297,1888228895.0,148.3022162,9025.0,852.5715791,3.728736541,2.949125753,1.131490936,0.006411275,0.07987073,0.888907128,0.1579023545,0.3095914148,0.7284275929,0.5621176982,0.1739277184,0.588518006,0.1708933572,0.1092550301
San Salvador,BusTransit Sprawl,El Salvador,,,,,0.92,21.1,0.0,0.0,0.0,0.0,0,6.0,0.028985507,,,5.31147541,5.0,0,0.0,0.0,0.0,0.0,,,,,,,1525000,207,7400,278402,322418,339775,176476,66.7,4.3,3802.9,,45.73,9.95,39.91,34.7,32.22,0.41,28.5,73.5,24.21,28.5,0.38,33.0,,1.044162516,,3730117.616,3030330178.0,119.0893818,17427.0,812.3953425,4.724975141,2.593553199,1.093847626,0.002455236,0.011616172,0.0557940888,0.1811177019,0.390473158,0.2183934203,0.2721874136,0.13422662,0.5741092483,0.5485491464,0.2792926626
Moscow,BusTransit Sprawl,Russia,26.0,49.0,,24.0,0.73,7.0,338.8,0.063804143,1.225105613,147.917924,82,0.0,0.0,0.0,0.0,0.0,0.0,150,0.905250453,2750.0,16.5962583,2.0,44.0,71.0,94.0,230.07,53.55,224.45,16570000,5310,3100,1017892,1467114,1006370,98090,74.0,1.3,45803.0,0.98,41.76,27.44,31.16,49.63,58.12,0.45,10.5,68.5,54.27,61.4,0.5,47.0,45.0,12.46681628,63.21,8786846.515,3975748191.0,223.4644723,23763.0,452.4658743,4.462705714,2.887878899,1.070377639,0.001938303,0.002760065,0.7138832352,0.1198022057,0.4440291957,0.4567068615,0.2729507306,0.2287949308,0.7581251451,0.7050808148,0.5719726937
Xi‚Äôan,MetroBike Emerging,China,11.88,36.26,37.6,16.6,1.16,18.8,90.0,0.096566524,1.073170732,50.40650407,6,0.0,0.0,0.0,0.0,0.0,0.0,900,14.63414634,20000.0,325.203252,7.0,,,,,,,6150000,932,6600,1533298,1155513,1456948,626279,55.6,9.8,10812.0,3.4,,,,,,0.35,,76.1,,50.1,0.43,36.0,58.0,6.8,,4964502.881,4735599258.0,293.7054299,9822.0,953.8919346,4.952448419,3.005224475,1.051722467,0.00139465,0.029375134,0.2844824777,0.0781927464,0.6220263576,0.2734292324,0.7682285038,0.3324807576,0.5793382982,0.6474112713,0.3735017548
Bandung,Congested Emerging,Indonesia,,,,,0.67,15.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.519031142,350.0,6.055363322,1.0,,,,,,,5780000,466,12400,102871,261361,509018,338294,53.7,6.6,3974.1,,36.29,8.12,42.5,16.97,27.35,0.33,8.3,69.1,,28.5,0.34,30.0,21.0,1.907781259,78.12,4072956.674,3241736479.0,118.4929065,20193.0,795.9172511,5.210238666,2.698619903,1.099410517,0.002263946,0.011509638,0.0872546552,0.0426886337,0.3956941148,0.1038982818,0.3618214292,0.1985029522,0.6861797148,0.3809360772,0.3100806163
Tehran,BusTransit Sprawl,Iran,35.0,13.0,1.5,36.0,0.36,32.1,178.0,0.109068627,0.782735918,65.83760059,18,130.0,0.079656863,1.133869788,9.070958303,43.89173372,10.0,0,0.0,0.0,0.0,0.0,,,,270.07,55.31,258.75,13670000,1632,8400,514787,363094,895356,432929,73.4,4.4,6733.9,,40.18,21.82,34.81,34.12,44.33,,,75.5,44.27,57.2,0.43,33.0,,7.996848538,86.96,12182342.57,8996909980.0,90.19080474,77360.0,738.5205209,4.414834302,2.652279331,1.054460824,0.000489163,0.002563572,0.3568711687,0.5167622385,0.4011100355,0.2169342239,0.1660035851,0.2322026673,0.6107480029,0.8213439323,0.5230345815
Birmingham,MassTransit Moderate,United Kingdom,64.8,17.04,1.53,8.57,1.68,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,26.0,46.0,51.0,,,,2530000,599,4100,-15803,-11992,179529,149990,82.6,2.2,31572.0,11.8,65.06,28.32,52.91,69.61,102.97,0.39,,81.2,48.49,89.8,0.77,41.0,68.0,4.68,41.62,4791803.646,9150291741.0,90.41991972,30143.0,1909.571514,4.556641534,2.452224704,1.058733709,0.008906684,0.012823666,0.0576862024,0.1469471929,0.3825491095,0.6501395805,0.4029233301,0.0308425142,0.3165495596,0.2214016126,0.4018683164
Dhaka,Congested Boomer,Bangladesh,,,,,1.06,13.6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,317.46,62.33,371.95,16235000,368,44100,3664250,4644700,5134639,2842057,34.3,7.3,972.88,23.0,36.95,6.91,30.9,26.38,39.02,0.31,49.8,62.8,29.39,31.9,0.18,31.0,,0.438735966,95.9,5518574.722,4756500754.0,113.8860169,28373.0,861.907466,5.120013027,2.630407643,1.072213882,0.000604287,0.0,0.0839264724,0.0857374773,0.4018415535,0.0240688948,0.0631525053,0.816198717,0.6462906427,0.0394419898,0.3114786443
Antwerp,MassTransit Moderate,Belgium,41.0,16.0,23,20.0,1.73,4.4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,144,14.18719212,1800.0,177.3399015,7.0,30.0,51.0,62.0,,,,1015000,635,1600,28907,33583,62587,44167,97.9,0.3,60248.0,6.1,80.0,27.52,70.62,89.67,97.48,0.28,,81.1,58.09,82.2,0.74,40.0,,15.1,65.5,2800268.058,5493353624.0,141.2137195,12013.0,1961.724203,4.746740075,2.874239351,1.061346709,0.005677309,0.03159854,0.0697356455,0.1372800863,0.4503776251,0.7406847969,0.5581984152,0.0091631872,0.392301338,0.3205393115,0.3921719165
Shanghai,MetroBike Giant,China,20.0,33.0,20,27.0,1.16,3.8,588.0,0.151351351,1.604584527,135.243553,24,0.0,0.0,0.0,0.0,0.0,0.0,596,2.627286753,19165.0,84.48313864,2.0,41.0,76.0,77.0,189.35,45.32,196.95,22685000,3885,5800,6135953,5595078,6566460,2283379,55.6,9.8,16524.0,4.3,55.12,36.62,58.32,39.67,79.45,0.44,2.43,81.74,69.81,50.1,0.43,49.0,58.0,14.4,86.8,31570838.99,982555292.3,384.8506594,45871.0,31.12224203,4.947042462,3.044335249,1.044218781,0.001019513,0.045842146,0.7444695048,0.1047092458,0.459971917,0.4561687173,0.6648247354,0.9270683187,0.6886867848,0.7101364635,0.430730873
Addis Ababa,Congested Emerging,Ethiopia,7.0,55.0,8,30.0,0.68,25.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,3465000,474,7300,585780,542029,961902,824645,19.5,4.7,6000.0,,45.8,22.11,38.24,23.82,16.38,0.61,25.7,64.8,55.72,4.4,0.1,22.0,4.0,0.112462805,84.51,5227096.285,6308259649.0,90.71355185,34555.0,1206.838234,5.453475856,2.885448219,1.051272148,0.000403948,0.003565848,0.0801887264,0.0357004196,0.3405901376,0.0120777567,0.26518033,0.2682351959,0.7473629329,0.4466671249,0.4187805019
Valparaiso,Hybrid Moderate,Chile,,,,,1.36,12.4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,880000,161,5500,70643,70532,129695,70269,89.5,1.4,15019.6,7.0,,,,,,0.52,12.4,80.5,,66.7,0.58,33.0,65.0,2.2,,452479.1405,5874133709.0,164.2392525,1576.0,12982.10941,5.397089397,2.826403326,1.095118454,0.023112481,0.0,0.0512892265,0.1308565242,0.3654516298,0.467095787,0.3676814032,0.0274931834,0.4634540766,0.274027416,0.3719721295
Jacksonville(FL),Auto Sprawl,United States,88.7,1.7,0.6,2.0,0.67,14.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,18.0,29.0,48.0,,,,1170000,1373,800,144511,180232,196568,98437,81.6,1.7,42316.0,6.9,73.56,33.31,73.66,73.9,111.13,0.474,16.4,79.4,40.0,76.2,0.78,41.0,72.0,18.8,,10677976.37,2823664894.0,173.5945826,34318.0,264.4382041,4.914261889,2.688099366,1.081301491,0.006412489,0.026840436,0.0277851596,0.1581518875,0.3334998407,0.707307694,0.3607969017,0.0412296517,0.1640965667,0.7892085544,0.2898240529
Almaty,BusTransit Sprawl,Kazakhstan,,,,,0.56,24.2,11.3,0.021280603,0.606060606,4.646464646,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,85.78,26.6,55.84,1485000,531,2800,79633,240709,247910,133107,53.2,1.1,35298.0,,32.43,12.87,25.52,34.26,48.59,0.25,1.3,70.2,49.77,54.9,0.41,33.0,,15.43279448,75.72,3512113.161,3797625089.0,171.8675391,11605.0,1081.293488,5.276808321,2.799698898,1.058039443,0.000726235,5.38e-05,0.1066045971,0.0448903301,0.4078691324,0.2710833821,0.4941236596,0.0807993047,0.4871728556,0.7394683086,0.3750040773
Dongguan,MetroBike Emerging,China,40.0,60.0,,,1.16,18.8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,33.0,49.0,66.0,,,,8260000,1619,5100,3078328,3528563,1623869,828293,55.6,9.8,12076.0,2.17,,,,,,0.32,,76.1,,50.1,0.43,38.0,58.0,7.550916485,,,,,,,,,,,,0.101001613,0.0702703224,0.399222509,0.2912460596,0.7324494155,0.4770369362,0.5331410076,0.709286917,0.3032371119
Stockholm,MassTransit Heavyweight,Sweden,47.0,35.0,1,17.0,1.72,0.6,105.7,0.276701571,6.622516556,218.5430464,67,40.0,0.104712042,,,11.32450331,20.0,67,4.437086093,1000.0,66.22516556,2.0,28.0,48.0,61.0,142.53,41.23,121.0,1510000,382,3600,167455,154254,234781,99888,85.8,1.5,83492.0,6.9,84.88,41.22,77.48,88.14,108.89,,,80.0,54.17,94.8,0.85,49.0,,6.2,11.0,4105495.19,6326252222.0,130.0400744,18096.0,1540.923063,4.760403904,2.651062571,1.091094711,0.011377958,0.025883102,0.8619437229,0.4548087693,0.3917264821,0.8608939331,0.4396823037,0.0217822176,0.3877830632,0.1909628553,0.3024765111
Kiev,Hybrid Giant,Ukraine,,,,,1.14,13.5,67.6,0.17377892,1.857142857,179.9642857,57,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,140.88,36.42,108.69,2800000,389,7200,32491,198559,138521,26016,69.7,2.4,8668.0,,28.36,12.86,21.17,23.32,31.32,,,71.3,51.65,41.8,0.43,33.0,27.0,5.959632751,73.02,2987137.265,3692770164.0,195.7110178,9047.0,1236.223794,4.855137205,2.79624396,1.056966182,0.000826198,0.0,0.539169427,0.0814742979,0.4448678357,0.2102446453,0.4055576434,0.0832281843,0.5944947965,0.4184263069,0.377972452
Santo Domingo,BusTransit Sprawl,Dominican Republic,,,,,1.26,29.3,27.4,0.064168618,0.825309491,18.21182944,8,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,3635000,427,8500,290576,340772,459214,255224,79.0,6.4,6909.1,,53.35,14.93,46.62,42.91,23.97,0.58,36.3,73.9,33.28,58.5,0.42,32.0,,2.146755872,81.53,5728294.384,4765903683.0,100.8697879,33351.0,831.9934981,5.421344316,2.887075453,1.055830114,0.001631857,0.013172137,0.171679103,0.1429180337,0.3587403368,0.2595763595,0.2953411689,0.1515893495,0.5851426417,0.5439252684,0.4161642917
Medellin,Congested Emerging,Colombia,12.8,40.5,1,30.3,0.83,16.8,31.3,0.129875519,0.702210663,47.68530559,22,18.0,0.074688797,0.754226268,1.742522757,4.681404421,7.0,50,1.300390117,1400.0,36.41092328,7.0,,,,,,,3845000,241,16000,588902,871104,902105,375899,76.4,2.6,11466.0,,31.85,7.55,27.64,22.43,44.52,0.56,24.6,74.8,47.68,61.6,0.45,41.0,,1.893127874,63.72,4304791.47,3419286880.0,127.822064,19554.0,794.2979128,5.077945619,2.909149763,1.157043437,0.000645951,0.0,0.3077403268,0.29530888,0.4859482961,0.2067766588,0.2537162898,0.1666058073,0.6617503127,0.3292835475,0.3247977921
Nouakchott,Congested Emerging,Mauritania,,,,,1.13,24.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,890000,85,10400,134404,205816,325947,185783,59.9,5.1,1296.0,,,,,,,0.39,20.8,63.1,,19.4,0.14,,,0.683653507,,1890352.559,1569163536.0,125.4797583,9000.0,830.0904127,6.331367292,3.231420912,1.026641424,0.000101626,0.0,0.0726857664,0.0451715762,0.3422157892,0.0656341581,0.3227800959,0.1597254034,0.6880516231,0.3107669938,0.4076784647
Ulaanbaatar,Congested Emerging,Mongolia,,,,,0.81,21.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,1280000,311,4100,193430,372718,488598,215828,72.0,6.4,3906.1,,58.57,35.46,56.92,31.79,20.75,0.37,18.8,68.8,31.38,27.0,0.35,26.0,,14.54654876,94.26,5527729.063,320290067.1,216.7141986,14788.0,57.94243231,5.05916233,2.576365382,1.067376092,0.001018615,0.0,0.0809249808,0.0708945177,0.301711657,0.1762880924,0.3278202292,0.156209281,0.677052895,0.4805465834,0.2672410927
Ningbo,MetroBike Emerging,China,15.0,66.0,2,15.0,1.16,18.8,74.5,0.100948509,1.309370988,9.704749679,3,0.0,0.0,0.0,0.0,0.0,0.0,600,15.40436457,15000.0,385.1091142,2.0,34.0,58.0,69.0,,,,3895000,738,5300,1009090,988984,1209519,414089,55.6,9.8,16468.0,2.16,,,,,,0.32,,76.1,,50.1,0.43,37.0,58.0,9.9,,17855979.67,783928691.9,439.8674598,22668.0,43.90286653,4.778182359,3.0193208,1.111216378,0.000777605,0.041054172,0.265003378,0.0734397093,0.5690812798,0.2882403719,0.7141573893,0.2867556678,0.5880039828,0.7886429853,0.2034160925
San Antonio(TX),Auto Sprawl,United States,89.6,2.3,0.2,1.9,0.59,12.8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,68,3.358024691,600.0,29.62962963,7.0,20.0,35.0,50.0,121.2,29.0,114.29,2025000,1546,1100,199188,252094,277629,137581,81.6,1.7,45006.0,6.0,61.45,34.5,58.09,62.34,151.6,0.469,17.8,78.5,48.52,68.1,0.78,43.0,72.0,18.5,,14288804.38,4117599895.0,179.6701084,45978.0,288.1696597,5.093993515,2.846676101,1.069106108,0.002602317,0.029380352,0.0252688634,0.1503788476,0.4411739455,0.6956064981,0.437212835,0.0671847796,0.1546440696,0.8349656256,0.3724730256
Guatemala City,Congested Emerging,Guatemala,1.0,15.0,6,78.0,0.95,19.0,0.0,0.0,0.0,0.0,0,24.0,0.061696658,,,26.35983264,11.0,0,0.0,0.0,0.0,0.0,,,,,,,2390000,389,6200,104911,220475,521763,326585,51.6,4.6,3100.2,,43.05,14.84,38.53,34.84,52.19,0.51,35.0,71.9,37.33,19.7,0.38,30.0,,0.866574175,,7031726.508,5736075214.0,104.5252406,38387.0,815.7420809,4.885249184,2.690607292,1.109605306,0.002598531,0.004582572,0.0753381916,0.2857543591,0.3677892227,0.1075027544,0.2640272988,0.1654049908,0.6518573322,0.260303035,0.341194189
Lisbon,Hybrid Giant,Portugal,47.0,35.0,2,16.0,1.83,3.1,43.2,0.045093946,2.048417132,52.47672253,58,5.0,0.005219207,0.446927374,,3.016759777,,0,0.0,0.0,0.0,0.0,36.0,61.0,72.0,133.86,34.96,117.81,2685000,958,2800,135185,152322,270645,125978,63.5,5.0,29932.0,18.2,51.59,22.13,40.55,44.9,66.67,,,79.0,67.26,62.1,0.65,44.0,,5.1,34.1,6137633.086,6198338245.0,97.31924914,38289.0,1009.890647,4.69571633,2.814612771,1.082728389,0.00556111,0.024970019,0.367093609,0.1518524104,0.4198702708,0.5040627723,0.4831863372,0.0964244438,0.5101700649,0.1967469472,0.3937601308
Frankfurt,MassTransit Moderate,Germany,38.0,20.0,11,31.0,1.68,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1.554404145,300.0,15.54404145,9.0,28.0,50.0,53.0,87.12,24.85,63.05,1930000,648,3000,14000,46775,62225,50000,75.3,2.2,69523.0,4.5,76.29,33.73,64.77,69.19,127.46,,11.0,79.4,60.34,86.2,0.74,47.0,60.0,13.1,37.37,4088848.021,5019015329.0,117.8104711,20570.0,1227.488844,4.638227192,2.808742505,1.060649298,0.005520133,0.033763225,0.080828081,0.1317586313,0.4038073845,0.7415742641,0.6256170351,0.0446718695,0.3230143941,0.3236573979,0.3423052456
Amsterdam,MassTransit Moderate,Netherlands,38.0,20.0,22,20.0,1.98,2.8,31.4,0.062178218,2.018348624,36.39143731,40,57.0,0.112871287,2.018348624,4.892966361,7.339449541,16.0,11,0.672782875,,,15.0,22.0,35.0,52.0,99.6,28.0,119.15,1635000,505,3200,69105,44615,103609,59475,90.5,3.7,65599.0,7.6,80.65,51.28,63.14,88.26,97.0,,17.8,78.55,67.63,94.0,0.79,53.0,,15.1,33.22,3058431.953,7557052887.0,112.2319164,16042.0,2470.891295,4.725253807,2.871510152,1.094270614,0.008101696,0.044965387,0.3259768722,0.483212497,0.4535887631,0.8424356153,0.6386406147,0.0572962394,0.2780348803,0.2405979462,0.3709691331
